,user_id,sum,last
0,MKHEIM98094,79,5
1,BWGBSE89264,57,3
2,LHAWTZ43940,126,7
3,ERKCWP44285,73,5
4,VPCJHG63953,81,5
5,DVJFSJ41395,40,2
6,VNIKOF59264,50,3
7,BCODKW23723,80,5
8,RWCMTK12007,55,4
9,HLSZTB50403,84,5
10,WSSXGX93951,44,3
11,XACBTT43907,25,2
12,KXNISW70451,55,3
13,WKGDCU68097,70,5
14,QPEROT44185,43,2
15,VALFNY05267,83,6
16,USIMNT63953,31,2
17,YKPYMN52183,87,5
18,FCQNUE35187,50,3
19,AHQMPG75063,18,1
20,IYSBZQ82404,101,6
21,BPIREY57201,10,2
22,XIEWEM64080,69,5
23,ODRWWW31076,96,7
24,SDTATH65229,80,5
25,BVOIVN81420,34,2
26,BCAEWC40330,66,4
27,TGFRDE99623,58,5
28,ISWWBF46615,93,6
29,NKSLVS39070,36,2
30,NLTZTG23328,53,6
31,FYYQIT65222,92,6
32,GGMODL20296,90,6
33,VXQVSM47656,32,2
34,QFZWZT06530,63,2
35,YMKQMI85412,43,3
36,EYYIVZ13808,57,4
37,VDXVGA70627,50,3
38,BHPCVA00465,44,4
39,LJMVJX77198,51,3
40,JDMLVM52872,85,5
41,GMNUZZ01545,138,7
42,HNNPGY38481,112,7
43,QPVISO97496,59,3
44,YFIMQD93286,171,9
45,QGKHEH41334,58,3
46,MZEAWL07967,85,5
47,AKSINH97116,76,5
48,OQNEPI63524,78,3
49,ZHFEZL61404,60,3
50,WQGJUT58165,68,4
51,ZFUGMR99034,67,3
52,KWHALK36298,108,6
53,YUOGWF25658,105,5
54,RAHBEV67354,90,6
55,RZZUFF87149,56,4
56,IWWICN80273,48,3
57,EYXRKH18018,58,2
58,WIDTXS02445,83,5
59,JOSULO70443,148,8
60,FFPWZZ63011,57,2
61,TSBZDB42143,76,5
62,IHVPAR43807,62,4
63,LVSVKT33224,68,3
64,DECKLS56420,60,3
65,ZQACBC72340,45,2
66,ZNIQST49757,78,7
67,UTUVDY03497,54,3
68,SVERUJ35361,65,4
69,HHGJDL83248,34,3
70,MTWDZO41660,74,4
71,QUPSJP18639,123,6
72,UFZVVH58140,56,3
73,IJCRIZ54608,40,3
74,SIEHWE74943,95,6
75,FKBNJT67618,66,4
76,IQGXGX51259,54,3
77,BFZKPJ43650,87,5
78,FSJAIX94148,42,3
79,HBYSCY13262,58,3
80,LDEKWZ58554,117,7
81,SWJQXS64240,60,3
82,JYPPFF30793,75,5
83,LRMZTS65492,39,3
84,VDOQSX67182,54,3
85,CNIKXB21351,57,3
86,WKVISC80396,63,3
87,MNHXKI79459,65,6
88,DOWZMN18110,42,2
89,KAQNFR24026,77,5
90,DLDOTO07080,61,4
91,IJSAAD63541,60,3
92,OIJEQS90520,72,5
93,WRYNJI37230,51,2
94,DRVKLR98752,103,6
95,ZWIYLG27202,67,5
96,WTVDEU91572,78,5
97,FMHUZD04311,79,5
98,KNTAAH46640,103,7
99,KUBTIU70548,50,3
100,AHDFJP19394,75,3
101,IARSJS03006,48,3
102,BHOCEI16074,72,4
103,YMHSKG48966,60,4
104,YPKPGT21621,73,3
105,MMXCRH15687,54,3
106,MOFOZH56264,87,5
107,ZPPNLX72755,60,4
108,TZAMKL02576,90,5
109,GYWXRE19573,83,5
110,RXXFYK73347,45,3
111,CRGUBT36685,53,3
112,LTPPXC18902,105,6
113,PPJBXW93447,108,6
114,ZHZABV00521,83,6
115,LFBCWY10860,37,3
116,CSSAVV68946,35,2
117,ORMEDF98724,54,2
118,AJONBQ50851,72,4
119,UYKCWI82165,116,7
120,DTYDRR19838,42,2
121,RWAPMH75818,56,3
122,DPFYFT47517,95,6
123,IUUTNO72457,33,3
124,GLEEZK55157,92,6
125,LAQCIO72645,62,3
126,NMNXNG32138,92,6
127,ALFXPZ78425,93,6
128,RXWJCQ91587,78,4
129,PARFOA57988,88,6
130,MBSQNB70921,88,6
131,LGHKNU07936,60,3
132,FRXJZG87066,86,6
133,PASFAJ54595,47,3
134,MJJLST59008,137,8
135,BCBDMM88965,56,3
136,MERSKV80829,69,4
137,YDUVXQ32374,76,3
138,CTBBFE14438,98,7
139,ARSLYF48406,75,4
140,FQTBJE97852,88,6
141,FQADAV45505,58,4
142,XKIEKF09642,60,4
143,ESRYUH11083,59,3
144,TTHDHL42757,71,4
145,RVGVBH47700,74,5
146,QJZZIG13387,120,7
147,AJDERZ30996,76,4
148,IFAULO88956,95,5
149,QNYHSV44310,66,3
150,LGKSPP82568,33,5
151,UAYUOY74764,37,2
152,JXPGEN43081,45,4
153,TULSQI99961,43,3
154,IYQHOL98232,40,2
155,AUJNME97643,45,2
156,NSMNVC20728,42,2
157,MOMNJC86443,103,6
